TestCase ID,TestCase Name, method, url, product_id, email, password, status_code
TC-FAV-ADD-001,Add product to favourites (valid),POST,{{base_url}}/favorites,1,customer2@practicesoftwaretesting.com,welcome01,201
TC-FAV-ADD-002,Add same product by different user (isolation),POST,{{base_url}}/favorites,1,customer@practicesoftwaretesting.com,welcome01,201
TC-FAV-ADD-003,Add product to favourites by admin,POST,{{base_url}}/favorites,1,admin@practicesoftwaretesting.com,welcome01,201
TC-FAV-ADD-004,Add the same product twice,POST,{{base_url}}/favorites,1,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-005,Add product not found,POST,{{base_url}}/favorites,999999,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-006,Add product with invalid product_id (string),POST,{{base_url}}/favorites,abc,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-007,Add product with non-integer product_id (float),POST,{{base_url}}/favorites,3.14,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-008,Add product with negative product_id,POST,{{base_url}}/favorites,-1,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-009,Add product with zero product_id,POST,{{base_url}}/favorites,0,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-010,Add product without product_id,POST,{{base_url}}/favorites,,customer2@practicesoftwaretesting.com,welcome01,422
TC-FAV-ADD-011,Add product without login,POST,{{base_url}}/favorites,1,,,401
TC-FAV-ADD-012,Add product with wrong credentials,POST,{{base_url}}/favorites,2,customer2@practicesoftwaretesting.com,wrongpass,401
TC-FAV-ADD-013,Add product with wrong url,POST,{{base_url}}/favorite,3,customer2@practicesoftwaretesting.com,welcome01,404
TC-FAV-ADD-014,Add product without wrong method (update favourite),PUT,{{base_url}}/favorites,4,customer2@practicesoftwaretesting.com,welcome01,405
TC-FAV-ADD-015,Add product without wrong method (delete favourite),PUT,{{base_url}}/favorites,5,customer2@practicesoftwaretesting.com,welcome01,405
