TestCase ID,TestCase Name,email,password,current_password,new_password,new_password_confirmation,expectStatus
TC-PWD-CHANGE-001,Change password (invalid login),customer@practicesoftwaretesting.com,welcome0,welcome01,welcome02,welcome02,401
TC-PWD-CHANGE-002,Change password (current password incorrect),customer@practicesoftwaretesting.com,welcome01,welcome0,welcome02,welcome02,400
TC-PWD-CHANGE-003,Change password (new password mismatch),customer@practicesoftwaretesting.com,welcome01,welcome01,welcome02,welcome03,422
TC-PWD-CHANGE-004,Change password (new password too short),customer@practicesoftwaretesting.com,welcome01,welcome01,wel,wel,422
TC-PWD-CHANGE-005,Change password (without comfirmed password),customer@practicesoftwaretesting.com,welcome01,welcome01,welcome02,,422
TC-PWD-CHANGE-006,Change password (without new password),customer@practicesoftwaretesting.com,welcome01,welcome01,,welcome02,422
TC-PWD-CHANGE-007,Change password (invalid user),customer99@practicesoftwaretesting.com,welcome01,welcome01,welcome02,welcome02,401
TC-PWD-CHANGE-008,Change password (valid),customer@practicesoftwaretesting.com,welcome01,welcome01,welcome02,welcome02,200
TC-PWD-CHANGE-009,Change password by admin,admin@practicesoftwaretesting.com,welcome01,welcome01,welcome02,welcome02,200

