TestCase ID,TestCase Name, method, url, q, email, password, status_code, data_length
TC-INV-SEC-001,Search by exact invoice number,GET,{{base_url}}/invoices/search,INV-2022000002,admin@practicesoftwaretesting.com,welcome01,200,1
TC-INV-SEC-002,Search by partial invoice number,GET,{{base_url}}/invoices/search,INV-2022,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-003,Search by billing address (full),GET,{{base_url}}/invoices/search,Test street 123,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-004,Search by partial billing address,GET,{{base_url}}/invoices/search,Test str,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-005,Search by status COMPLETED,GET,{{base_url}}/invoices/search,COMPLETED,admin@practicesoftwaretesting.com,welcome01,200,0
TC-INV-SEC-006,Search by status AWAITING_FULFILLMENT,GET,{{base_url}}/invoices/search,AWAITING_FULFILLMENT,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-007,Search by non-existent invoice number,GET,{{base_url}}/invoices/search,INV-9999999999,admin@practicesoftwaretesting.com,welcome01,200,0
TC-INV-SEC-008,Search by non-existent billing address,GET,{{base_url}}/invoices/search,No Such Address,admin@practicesoftwaretesting.com,welcome01,200,0
TC-INV-SEC-009,Search with special characters,GET,{{base_url}}/invoices/search,!@#$%^&*(),admin@practicesoftwaretesting.com,welcome01,200,0
TC-INV-SEC-010,Search with empty query,GET,{{base_url}}/invoices/search,,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-011,Search by combined invoice number and status,GET,{{base_url}}/invoices/search,INV-2022 AWAITING_FULFILLMENT,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-012,Search by combined billing address and status,GET,{{base_url}}/invoices/search,Test AWAITING_FULFILLMENT,admin@practicesoftwaretesting.com,welcome01,200,
TC-INV-SEC-013,Search invoice without authentication,GET,{{base_url}}/invoices/search,INV-2022000002,,,401,
TC-INV-SEC-014,Search invoice with normal user,GET,{{base_url}}/invoices/search,INV-2022000002,customer2@practicesoftwaretesting.com,welcome01,401,
TC-INV-SEC-015,Search invoice with wrong authentication,GET,{{base_url}}/invoices/search,INV-2022000002,admin@practicesoftwaretesting.com,welcome00,401,
TC-INV-SEC-016,Search with wrong url,GET,{{base_url}}/invoice/search,INV-2022000002,admin@practicesoftwaretesting.com,welcome01,404,
TC-INV-SEC-017,Search with wrong url,GET,{{base_url}}/invoices/searches,INV-2022000002,admin@practicesoftwaretesting.com,welcome01,404,
TC-INV-SEC-018,Search with POST method ,POST,{{base_url}}/invoices/search,INV-2022000002,admin@practicesoftwaretesting.com,welcome01,405,
TC-INV-SEC-019,Search with DELETE method ,DELETE,{{base_url}}/invoices/search,INV-2022000002,admin@practicesoftwaretesting.com,welcome01,405,
